city,region,country,rank display,institution,location code,size,focus,research,age band,status,ar score,er score,fsr score,cpf score,ifr score,isr score,irn score,ger score,score scaled,year,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,check_city,longitude,latitude
Gwangju,Asia,South Korea,288,Gwangju Institute of Science and Technology (GIST),KR,S,FO,VH,3,A,14.5,6.6,39.2,100,22.1,8.8,34.5,13.7,36,2023,70.4,17.5,45,87.5,37.6,85.5,no,126.8368133,35.22759447
Suwon,Asia,South Korea,488,Ajou University ,KR,M,FC,VH,3,B,13.3,12.1,70,13.5,7.4,16.6,26.5,8.1,24.6,2023,70.4,17.5,45,87.5,37.6,85.5,no,127.043766,37.28201867
Gyeonggi,Asia,South Korea,494,The Catholic University of Korea ,KR,M,FC,VH,3,B,4.7,2.5,98.5,9.8,2.3,6.6,13.9,4.3,24.4,2023,70.4,17.5,45,87.5,37.6,85.5,no,126.7387558,37.53604563
Maastricht,Europe,Netherlands,278,Maastricht University ,NL,L,FO,VH,3,A,21.8,22.1,14.9,63.1,98.9,100,80.8,68.3,36.7,2023,70.3,30.3,51.2,59.3,65.7,102.5,yes,5.676553908,50.84322609
Turku,Europe,Finland,291,University of Turku,FI,L,FC,VH,5,A,28.8,32.1,60.3,36.3,27.3,4.9,88.4,28.3,35.8,2023,70.2,20.2,46.2,60.2,78.5,98.6,yes,22.28221008,60.45422667
Groningen,Europe,Netherlands,145,University of Groningen,NL,XL,FC,VH,5,A,51.6,21.6,54.4,42.2,93.4,86.9,96.3,20.9,51.4,2023,70.1,21.8,47,57.6,72.4,86.4,yes,6.553893898,53.21781449
Frankfurt,Europe,Germany,328,Goethe-University Frankfurt am Main,DE,XL,FC,VH,5,A,45.4,28.6,26.4,15.6,37.9,27.5,93.7,7.6,32.9,2023,70.1,34.8,53.2,55.3,63.2,108,yes,8.665188577,50.12706747
Houston,North America,United States,100,Rice University,US,M,FC,VH,5,B,38.8,26.1,69.5,86.7,90,92.6,57.2,70.7,58.8,2023,69.9,44.7,57.8,63.8,73.1,144.3,yes,-95.41645209,29.7070727
Hobart,Oceania,Australia,293,University of Tasmania,AU,M,CO,VH,5,A,16.5,7.5,14.5,85.4,61.9,99.4,85.5,23.1,35.6,2023,69.9,22.7,47.3,64.3,69.8,127.1,yes,145.29665,-41.96749833
Cambridge,Europe,United Kingdom,2,University of Cambridge,UK,L,FC,VH,5,A,100,100,100,92.3,100,96.3,99.5,100,98.8,2023,69.8,43.2,57,56.8,71.8,97,yes,0.111920724,52.20021695
